Age at enrollment,Application mode,Curricular units 1st sem (approved),Curricular units 1st sem (enrolled),Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Debtor,Gender,Scholarship holder,Tuition fees up to date,Target
-0.6936377493611523,7,-1.450482619883614,0.01775279384216274,0.2381698251310667,-0.03261051575656825,0,0,0,1,1
-0.6936377493611523,0,0.7348744962218693,0.5211713049377809,0.14741177741111294,0.6620322890019038,0,0,0,1,1
-0.376112022642931,7,1.171945919442966,0.5211713049377809,0.08501561960364498,0.0854787610523722,0,0,0,1,1
-0.6936377493611523,0,0.2978030730007726,0.01775279384216274,0.12926016786712227,-0.03261051575656825,1,0,1,1,1
-0.6936377493611523,0,0.2978030730007726,-0.4856657172534554,0.41968592057097376,0.5231037280502094,0,0,0,1,1
-0.5348748860020417,6,0.7348744962218693,0.5211713049377809,0.4922923587469364,0.7222346654143053,0,1,0,1,1
-0.21734915928382031,11,0.2978030730007726,0.01775279384216274,0.19927351896537243,-0.15169213942944926,0,1,0,1,1
-0.6936377493611523,0,-0.5763397734414207,-0.4856657172534554,0.05665372969115964,0.6620322890019038,0,1,0,0,1
0.25893943079351167,6,-1.0134111966625174,-0.4856657172534554,0.1020327535511363,0.8935798905880613,0,0,0,1,1
-0.5348748860020417,0,0.7348744962218693,1.024589816033399,0.19279080127109005,0.19893708582958927,0,0,1,1,1
-0.376112022642931,0,-0.1392683502203241,0.01775279384216274,0.7827181114507884,-0.03261051575656825,0,0,1,1,1
-0.6936377493611523,0,-1.8875540431047109,-3.0027582727315463,-3.0291198927872633,-3.0890388566938456,0,0,0,1,1
-0.5348748860020417,6,-1.8875540431047109,-3.0027582727315463,-3.0291198927872633,-3.0890388566938456,0,1,1,1,1
-0.5348748860020417,6,0.2978030730007726,0.01775279384216274,0.0748053392351503,-0.3104676376599571,0,1,0,1,1
0.25893943079351167,10,-1.8875540431047109,0.01775279384216274,-3.0291198927872633,-3.0890388566938456,0,1,0,1,1
0.576465157511733,8,0.7348744962218693,0.01775279384216274,0.2381698251310667,-0.08818194013724583,0,1,0,1,1
-0.6936377493611523,6,-1.8875540431047109,-0.4856657172534554,-3.0291198927872633,-3.0890388566938456,0,1,0,1,1
-0.6936377493611523,6,0.2978030730007726,-0.4856657172534554,0.2381698251310667,0.060008524877894855,0,1,0,1,1
0.10017656743440101,0,-0.1392683502203241,-0.4856657172534554,0.7827181114507884,0.7453894255729206,0,1,0,1,1
-0.6936377493611523,10,-1.0134111966625174,-0.4856657172534554,-0.30637846118865497,-3.0890388566938456,1,1,0,1,1
-0.5348748860020417,4,0.2978030730007726,-0.4856657172534554,0.7827181114507884,0.5925680085260566,0,1,0,1,1
-0.5348748860020417,0,0.2978030730007726,-0.4856657172534554,0.8371729400827603,0.7453894255729206,0,0,0,1,1
-0.376112022642931,6,0.7348744962218693,0.5211713049377809,0.14741177741111294,0.5231037280502094,0,0,0,1,1
-0.6936377493611523,6,-0.5763397734414207,-0.4856657172534554,0.5104439682909275,-0.03261051575656825,0,0,1,1,1
-0.376112022642931,10,0.7348744962218693,0.5211713049377809,0.13379807025312018,0.5231037280502094,0,0,0,1,1
-0.376112022642931,6,-1.0134111966625174,0.01775279384216274,-0.30637846118865497,-0.10207479623241546,0,0,1,1,1
-0.376112022642931,6,-0.5763397734414207,-0.4856657172534554,-0.21562041346870117,-0.12522955639103137,0,0,0,1,1
-0.6936377493611523,0,0.2978030730007726,0.01775279384216274,0.45598913965895554,0.634246576811565,0,0,1,1,1
-0.376112022642931,0,0.2978030730007726,0.5211713049377809,0.5616315072049816,0.49333332213198905,0,0,1,1,1
-0.05858629592470966,12,-1.8875540431047109,-0.4856657172534554,-3.0291198927872633,-3.0890388566938456,1,0,0,0,1
-0.6936377493611523,0,-1.8875540431047109,-3.0027582727315463,-3.0291198927872633,-3.0890388566938456,0,0,0,1,1
-0.6936377493611523,6,-0.5763397734414207,0.01775279384216274,0.3289278728510205,-0.07892003607379956,0,0,0,1,1
3.910485288053057,8,-1.8875540431047109,-2.499339761635928,-3.0291198927872633,-3.0890388566938456,1,0,0,1,1
0.8939908842299543,8,-0.1392683502203241,-0.4856657172534554,0.03396421776117108,-0.17153907670826266,0,0,0,1,1
-0.6936377493611523,0,-0.5763397734414207,-0.4856657172534554,0.14741177741111294,0.6620322890019038,0,0,1,1,1
0.576465157511733,11,0.7348744962218693,0.01775279384216274,0.41968592057097376,0.5694132483674407,0,0,1,1,1
-0.21734915928382031,10,1.6090173426640626,2.031426838224635,0.1020327535511363,-0.3104676376599571,1,0,0,0,1
0.10017656743440101,0,-1.0134111966625174,0.01775279384216274,-0.30637846118865497,-0.3104676376599571,0,0,0,1,1
2.005330927743729,8,-0.5763397734414207,-1.4925027394446917,0.18825289888509264,0.060008524877894855,0,0,0,1,1
0.41770229415262233,8,0.7348744962218693,0.5211713049377809,0.2722040930260493,0.6099340786450185,0,0,0,1,1
-0.5348748860020417,0,0.7348744962218693,0.5211713049377809,0.36652763547785827,0.09589840312374918,0,0,0,1,1
0.25893943079351167,5,2.9202316123273526,5.555356415893963,0.4856917734582127,0.6774687957743143,0,0,0,1,1
-0.5348748860020417,0,0.2978030730007726,0.01775279384216274,0.34707948239501113,0.3563894549081762,0,0,0,1,1
-0.6936377493611523,0,-1.450482619883614,0.01775279384216274,-0.03410431802879413,-3.0890388566938456,0,0,0,1,1
-0.6936377493611523,6,0.7348744962218693,0.01775279384216274,0.19279080127109005,0.384175167098515,0,0,0,1,1
-0.6936377493611523,0,1.171945919442966,0.5211713049377809,0.7274853566955033,0.7384429975253358,0,0,1,1,1
-0.6936377493611523,6,0.7348744962218693,0.01775279384216274,0.3743068967109971,0.33786564678128367,0,0,0,1,1
0.25893943079351167,11,0.7348744962218693,0.01775279384216274,0.08258460046828915,0.5231037280502094,0,0,0,1,1
-0.5348748860020417,0,-0.1392683502203241,0.01775279384216274,-0.03410431802879413,-0.03261051575656825,0,0,0,1,1
-0.376112022642931,6,0.7348744962218693,0.5211713049377809,0.17204610464938597,0.5462584882088253,0,0,0,1,1
-0.5348748860020417,1,-0.5763397734414207,-0.4856657172534554,-0.21562041346870117,0.5231037280502094,0,0,0,1,1
-0.6936377493611523,0,0.2978030730007726,0.01775279384216274,0.4015343110269831,0.07853233300478737,0,0,0,1,1
-0.6936377493611523,0,0.2978030730007726,-0.4856657172534554,0.7827181114507884,0.13410375738546496,0,0,0,1,1
-0.6936377493611523,0,0.2978030730007726,0.5211713049377809,0.2381698251310667,0.4304846874157463,0,0,0,1,1
-0.5348748860020417,0,-0.1392683502203241,-0.4856657172534554,0.2381698251310667,0.2452466061468206,0,0,0,1,1
