Application mode,Course,Previous qualification,Mother's occupation,Father's occupation,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Application order_1,Application order_2,Application order_3,Application order_4,Application order_5,Application order_6,Daytime/evening attendance_1,Displaced_1,Educational special needs_1,Debtor_1,Tuition fees up to date_1,Gender_1,Scholarship holder_1,International_1
0.19641873278236915,0.049035812672176306,0.8316804407713498,0.12011019283746556,0.23333333333333334,0.05660377358490565,-0.3045174163605091,-2.4655379774633057,-1.8831067441304288,-1.4800337474133236,-2.0832243070150342,-0.18987096498229525,-0.2876857311500217,-2.7826911557917358,-1.9585859770410354,-1.4290139492910132,-1.8310853697339375,-0.19014840803861957,-0.3113121790486066,0.12161458918853636,0.774118642653232,1,False,False,False,False,True,False,True,True,False,False,True,True,False,False
0.005509641873278237,0.0581267217630854,0.8316804407713498,0.07493112947658402,0.0884297520661157,0.037735849056603765,-0.3045174163605091,-0.13128815572234495,-0.4832137518729115,0.37330581555236303,0.6852169811434977,-0.18987096498229525,-0.2876857311500217,-0.1310017362457082,-0.4448172552541741,0.46855487253304884,0.6623828218128862,-0.19014840803861957,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,True,False,False,False,False,False,True,True,False,False,False,True,False,False
0.3878787878787879,0.05068870523415978,0.8316804407713498,0.36170798898071627,0.23333333333333334,0.037735849056603765,-0.3045174163605091,-0.13128815572234495,-1.8831067441304288,-1.4800337474133236,-2.0832243070150342,-0.18987096498229525,-0.2876857311500217,-0.1310017362457082,-1.9585859770410354,-1.4290139492910132,-1.8310853697339375,-0.19014840803861957,-0.3113121790486066,0.12161458918853636,0.774118642653232,1,False,False,False,False,True,False,True,True,False,False,False,True,False,False
0.19641873278236915,0.08181818181818182,0.8316804407713498,0.12011019283746556,0.0884297520661157,0.05660377358490565,-0.3045174163605091,-0.13128815572234495,-0.016582754453739097,0.37330581555236303,0.5722193775451904,-0.18987096498229525,-0.2876857311500217,-0.1310017362457082,0.5643618926037334,0.15229340222903848,0.4312808918646442,-0.19014840803861957,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,0,False,True,False,False,False,False,True,True,False,False,True,False,False,False
0.18292011019283747,0.0534435261707989,0.8316804407713498,0.36170798898071627,0.23333333333333334,0.5283018867924527,-0.3045174163605091,-0.13128815572234495,0.2167327442558471,0.06441588839141525,0.3556406373151012,-0.18987096498229525,-0.2876857311500217,-0.1310017362457082,-0.4448172552541741,0.46855487253304884,0.5407502271032851,-0.19014840803861957,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.18292011019283747,0.05895316804407714,0.04104683195592287,0.36170798898071627,0.15289256198347106,0.6226415094339623,-0.3045174163605091,-0.5203297926791717,0.4500482429654333,0.06441588839141525,0.26147596764984504,-0.18987096498229525,-0.2876857311500217,-0.5729499728367128,2.3304254013550714,0.15229340222903848,0.2670768890066825,6.498211293319801,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,True,False,False,False,False,False,False,False,False,True,True,True,False,False
0.3878787878787879,0.1834710743801653,0.8316804407713498,0.06170798898071626,0.05840220385674931,0.018867924528301883,-0.3045174163605091,0.25775348123448183,0.2167327442558471,0.6821957427133108,0.5467949167355713,-0.18987096498229525,-0.2876857311500217,0.7528947369363009,0.05977231867477963,1.1010778131410695,0.7861439869299056,-0.19014840803861957,1.4507796153738872,1.132649011331743,-1.7926226566666124,0,True,False,False,False,False,False,True,True,False,False,True,False,True,False
0.02975206611570248,0.0581267217630854,0.8316804407713498,0.36170798898071627,0.23333333333333334,0.09433962264150941,-0.3045174163605091,-0.5203297926791717,-0.7165292505824977,-1.4800337474133236,-2.0832243070150342,-0.18987096498229525,-0.2876857311500217,-0.5729499728367128,-0.697112042218651,-1.4290139492910132,-1.8310853697339375,-0.19014840803861957,1.4507796153738872,1.132649011331743,-1.7926226566666124,1,False,False,False,True,False,False,True,True,False,False,False,True,False,False
0.3878787878787879,0.08622589531680441,0.8316804407713498,0.36170798898071627,0.23333333333333334,0.07547169811320753,-0.3045174163605091,-0.13128815572234495,-0.016582754453739097,0.37330581555236303,0.660498755356368,-0.18987096498229525,-0.2876857311500217,-0.1310017362457082,-0.19252246828969724,0.46855487253304884,0.7492632466054585,-0.19014840803861957,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,False,False,True,False,False,False,True,False,False,False,True,False,True,True
0.3878787878787879,0.08622589531680441,0.8316804407713498,0.18457300275482094,0.15289256198347106,0.018867924528301883,-0.3045174163605091,-0.13128815572234495,0.2167327442558471,0.06441588839141525,0.17107788477119906,-0.18987096498229525,-0.2876857311500217,-0.1310017362457082,1.5735410404616408,-0.7964910086829925,0.631974673135486,-0.19014840803861957,-1.0236471597725936,0.12161458918853636,1.5574172805491155,1,True,False,False,False,False,False,True,True,False,True,False,False,False,False
